id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36267,Ηχοσύστημα αυτοκινήτου 1DIN - Xplod - X1100 ,Ηχοσύστημα αυτοκινήτου 1DIN - Xplod - X1100 - 001269,in stock,new,54 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/3007_001269.jpg,OEM,No Color,1,"<p> </p><ul><li>Μορφή συστήματος πλοήγησης πολυμέσων 1DIN</li><li>Οθόνη με αντιανακλαστική επικάλυψη.</li><li>Ραδιόφωνο FM.</li><li>Μονάδα BlueTooth με ενσωματωμένο μικρόφωνο.</li><li>Θύρα USB με υποστήριξη για μορφές AVI, MPEG, WMA, MP3, MP4</li><li>Ενσωματωμένος ενισχυτής: κανάλι 4 x 50 W</li><li>Διαστάσεις συσκευασίας: 27 x 24 cm</li></ul><p> </p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ηχοσυστήματα 1DIN
36742,Ηχοσύστημα αυτοκινήτου 1DIN με αναδι�,Ηχοσύστημα αυτοκινήτου 1DIN με αναδιπλούμενη οθόνη – M706 - 001528,in stock,new,108 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2806_001528.png,OEM,No Color,4.5,"<div class=""product_theme_description""><p>Το απόλυτο, ασύρματα τηλεχειριζόμενο, πολύ-σύστημα για το ταμπλό του αυτοκινήτου καθώς διαθέτει 7 ιντσών TFT 1DIN πτυσσόμενη / αναδιπλούμενη οθόνη αφής, ενσωματωμένο ενισχυτή ήχου, bluetooth για σύνδεση με το κινητό, θύρες USB, SD, AUX, έλεγχο τιμονιού, FM ραδιόφωνο και άλλα πολλά!</p><p>Με ενσωματωμένο μικρόφωνο και bluetooth για να μπορείτε να διεκπεραιώνεται τις κλήσεις σας εντελώς handsfree, απευθείας από τα ηχεία του αυτοκινήτου σας. Δώστε προτεραιότητα στην ασφαλή οδήγηση με αυτή την Multimedia Bluetooth οθόνη αυτοκινήτου.</p><p>Διαθέτει διάφορες εισόδους & εξόδους audio / video. Συνδέστε εξωτερικό subwoofer ή ακόμα και κάποια εξωτερική κάμερα (πχ οπισθοπορείας - parking) και δείτε live στην οθόνη το πίσω μέρος του αυτοκινήτου όταν παρκάρετε.</p><p>Υψηλής ποιότητας στιβαρή κατασκευή, με ανθεκτικά κουμπιά. Η πρόσοψη είναι μεταλλική για ακόμη μεγαλύτερη αντοχή σε γρατσουνιές και φθορές! Κρατήστε διαχρονικά το στυλ του αυτοκινήτου σας.</p><p><strong>Κύρια Χαρακτηριστικά:</strong></p><ul><li><p>Ενσωματωμένο Bluetooth</p></li><li><p>Τηλεχειριζόμενο</p></li><li><p>Υποστήριξη SD/USB</p></li><li><p>Οθόνη Αφής</p></li><li><p>Native Resolution: 800 x 480</p></li><li><p>Support Max Resolution: 1920 x 1080p</p></li></ul><p> <strong>Γενικά Χαρακτηριστικά:</strong></p><ul><li><p>Χρώμα: Μαύρο</p></li><li><p>Μέγεθος οθόνης: 7""</p></li><li><p>Τύπος Μέσων:  WMA, WAV, Mp3, WMV, Mp4, JPEG</p></li><li><p>Εύρος Ζώνης Απόκρισης Ραδιοφώνου: AM: 522 KHz-1620 KHz;FM: 875 MHz-108 MHz</p></li><li><p>Σύστημα Λειτουργίας:  Windows CE 6.0 - Δεν διαθέτει GPS.</p></li><li><p>Μέγιστη Ισχύς Εξόδου / Ποσότητα Καναλιών Ενισχυτή:  45 Watts x 4</p></li><li><p>Είδος Βυσμάτων:  1 x A/V Έξοδος, 1 x A/V Είσοδος, 1 x RCA Είσοδοι, 1 x RCA Έξοδοι, 1x USB, 1 x subwoofer out, 1 x Βύσμα τροφοδοσία, 1 x Camera in</p></li><li><p>Διαστάσεις εγκατάστασης : Πλάτος 18,3 εκ , Βάθος 16,5 εκ, Υψος 5,3 εκ</p></li><li><p>Άλλα Χαρακτηριστικά:  Ενσωματωμένο Bluetooth, Υποστήριξη SD/USB, Οθόνη Αφής, FM, Έλεγχος Τιμονιού, RDS.</p></li><li><p>Με δυνατότητα ψηφιακής ή αναλογικής Τηλεόρασης - ( απαιτείται εξωτερικό tuner )</p></li><li><p>Διαθέτει ασύρματο τηλεχειριστήριο</p></li><li>Διαστάσεις συσκευασίας: 29 x 23 cm</li></ul></div>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ηχοσυστήματα 1DIN
39247,"Ηχοσύστημα αυτοκινήτου 1DIN - 4037 - 4"""" - M","Ηχοσύστημα αυτοκινήτου 1DIN - 4037 - 4"""" - MP5 - 000142",in stock,new,41.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/000142.jpg,OEM,No Color,1.0,"<div class=""electro-description clearfix""><div class=""module-body""><div class=""module-item module-item-1""><div class=""block-body expand-block""><div class=""block-wrapper""><div class=""block-content block-description""><ul><li>Ψηφιακή οθόνη 4.1"" TFT</li><li>Δέχεται κάρτες SD/MMC CARD SLOT με USB 2.0</li><li>Υποστηρίζει 1080P VIDEO FORMAT</li><li>Διαθέτει MOSFET AMPLIFIER: 60WATTS X 4 MAX POWER OUTPUT</li><li>Ραδιόφωνο με εύρος συχνοτήτων 87.5 - 108.00MHz</li><li>Με τηλεχειριστήριο</li><li>Διαθέτει AUX IN FUNCTION & ενσωματωμένο Bluetooth</li><li>Δέχεται κάμερα οπισθοπορείας (δεν περιλαμβάνεται)</li><li>Διαστάσεις συσκευασίας: 21 x 18 cm</li></ul></div></div></div></div></div></div><div class=""notranslate"" style=""all: initial;""> </div>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ηχοσυστήματα 1DIN
39575,Ηχοσύστημα αυτοκινήτου 1DIN - 4' - MP5 - 404,Ηχοσύστημα αυτοκινήτου 1DIN - 4' - MP5 - 4042 - 000222,in stock,new,41.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/9.1_000222.png,OEM,No Color,3.0,"<p>Ηχοσύστημα MP5 με TFT HD οθόνη 4.1″ με BT/USB/SD/AUX και χειριστήριο – GBT 4042UM</p><p><br />Χαρακτηριστικά:<br />- TFT LED οθόνη 4.1″ υψηλής ευκρίνειας<br />- Υποδοχή εξωτερικής κάρτας μνήμης SD/MMC και θύρα USB 2.0<br />- Ραδιόφωνο FM<br />- Bluetooth και μικρόφωνο για να πραγματοποιείτε κλήσεις με τα χέρια σας ελεύθερα<br />- Έξοδος AUX για να συνδέετε συσκευές ήχου όπως, κινητό τηλέφωνο, tablet ή mp3<br />- Video format: 1080P (1920×1080)<br />- Υποστήριξη IR ασύρματου χειριστηρίου<br />- Eπιλογή για τον χρωματισμό της κεντρικής ροδέλας, για να ταιριάζει απόλυτα στο εσωτερικό του αυτοκινήτου σας και χειριστήριο</p><p><br />Τεχνικά Χαρακτηριστικά:<br />- Μέγεθος οθόνης: 4.1″<br />- Εύρος συχνότητας: 20Hz – 20KHz<br />- Ισχύς: 4 x 50W<br />- Μορφές βίντεο: RM/RMVB/DVD(VOB)/VCD(DAT)/MP1/MP2/DIVX/XVID/MP4/H263/H264/FLV/3GP/SWF/AVI /ASF/MGPEG<br />- Μορφές ήχου: MP3/WMA/WAV/OGG/APE/FLAC<br />- Μορφές εικόνας: JPEG/BMP/GIF/TIF<br />- FM συχνότητα: 87.5MHz – 108MHz<br />- AM συχνότητα: 522KHz – 1620KHz<br />- Τάση: 12V<br />- Διαστάσεις συσκευασίας: 21 x 18 cm</p><p><br />Η συσκευασία περιλαμβάνει:<br />- 1 x Mp5 ηχοσύστημα<br />- 1 x Χειριστήριο<br />- 2 x Σετ καλωδίων<br />- 1 x Οδηγίες χρήσεως (στα Αγγλικά)</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ηχοσυστήματα 1DIN
39578,Ηχοσύστημα αυτοκινήτου 1DIN - Pervoi - CTC-4,Ηχοσύστημα αυτοκινήτου 1DIN - Pervoi - CTC-4066 - 000223,in stock,new,45 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/9.1_000223.png,OEM,No Color,3.5,"<p>Διαθέτει:<br />Οθόνη TFT μεγέθους 4.1''<br />Ανάλυση: 1080p<br />Ραδιόφωνο FM<br />Λειτουργία GPS<br />Bluetooth 4.2<br />Θύρες: <span class=""HwtZe"" lang=""el""><span class=""jCAhz ChMk0b""><span class=""ryNqvb"">AUX, 2 x USB, microSD</span></span></span><br />Universal εφαρμογή<br />Τάση: DC 12V<br />Ισχύς: 4x50W</p><p>Διαστάσεις συσκευασίας: 21 x 18 cm</p><div class=""notranslate"" style=""all: initial;""> </div>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ηχοσυστήματα 1DIN
106634,Ηχοσύστημα αυτοκινήτου 1DIN - Bluetooth - 17,Ηχοσύστημα αυτοκινήτου 1DIN - Bluetooth - 1786 - 000372,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/000372.jpg,PerVoi,No Color,1.0,"<p>Χαρακτηριστικά:<br />Αποσπώμενη πρόσοψη<br />Bluetooth<br />Backlight<br />Θύρες USB, SD Card, AUX<br />MP3 Player<br />Fm ραδιόφωνο<br />6 Bands<br />Μνήμη 30 σταθμών <br />Preset EQ (POP/ROCK/CLASS)<br />Μνήμη 18 σταθμών (18FM)<br />Repeat/Random/Intro Play<br />Ισχύς 60 Watts x 4<br />Ψηφιακό ρολόι<br />Περιλαμβάνεται Τηλεχειριστήριο</p><p>Διαστάσεις συσκευασίας: 21 x 16 x 7.5cm</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ηχοσυστήματα 1DIN
106637,Ηχοσύστημα αυτοκινήτου 1DIN - Bluetooth - 24,Ηχοσύστημα αυτοκινήτου 1DIN - Bluetooth - 24V - 1801 - 000371,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/000371-1.jpg,PerVoi,No Color,1.0,"<p>Χαρακτηριστικά:<br />Τάση: 24V<br />Bluetooth<br />Backlight<br />Θύρες USB, SD Card<br />MP3 Player<br />Fm ραδιόφωνο<br />Preset EQ (POP/ROCK/CLASS)<br />Μνήμη 18 σταθμών (18FM)<br />Repeat/Random/Intro Play<br />Ισχύς 60 Watts x 4<br />Ψηφιακό ρολόι<br />Περιλαμβάνεται Τηλεχειριστήριο</p><p>Διαστάσεις συσκευασίας: 21 x 16 x 7.5cm</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ηχοσυστήματα 1DIN
106640,Ηχοσύστημα αυτοκινήτου 1DIN - Bluetooth - 52,Ηχοσύστημα αυτοκινήτου 1DIN - Bluetooth - 520 - 000370,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/000370.jpg,PerVoi,No Color,1.0,"<p>Χαρακτηριστικά:<br />Bluetooth<br />Backlight<br />Θύρες USB, SD Card<br />MP3 Player<br />Fm ραδιόφωνο<br />Preset EQ (POP/ROCK/CLASS)<br />Μνήμη 18 σταθμών (18FM)<br />Repeat/Random/Intro Play<br />Ισχύς 60 Watts x 4<br />Ψηφιακό ρολόι<br />Περιλαμβάνεται Τηλεχειριστήριο</p><p>Διαστάσεις συσκευασίας: 21 x 16 x 7.5cm</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ηχοσυστήματα 1DIN
106643,Ηχοσύστημα αυτοκινήτου 1DIN - Bluetooth - 62,Ηχοσύστημα αυτοκινήτου 1DIN - Bluetooth - 6230 - 003690,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/000369.jpg,PerVoi,No Color,1.0,"<p>Χαρακτηριστικά:<br />Bluetooth<br />Backlight<br />Θύρες USB, SD Card<br />MP3 Player<br />Fm ραδιόφωνο<br />Preset EQ (POP/ROCK/CLASS)<br />Μνήμη 18 σταθμών (18FM)<br />Repeat/Random/Intro Play<br />Ισχύς 60 Watts x 4<br />Ψηφιακό ρολόι<br />Περιλαμβάνεται Τηλεχειριστήριο</p><p>Διαστάσεις συσκευασίας: 21 x 16 x 7.5cm</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ηχοσυστήματα 1DIN
106653,Ηχοσύστημα αυτοκινήτου 1DIN - Bluetooth - 4',Ηχοσύστημα αυτοκινήτου 1DIN - Bluetooth - 4'' - 4080 - 000366,in stock,new,54 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/d9bde313749b228de2e9c60f15ef719d.jpg,PerVoi,No Color,1.0,,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ηχοσυστήματα 1DIN
