id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36580,Ηλεκτρικός τροχός μανικιούρ-πεντικ,Ηλεκτρικός τροχός μανικιούρ-πεντικιούρ - TGR-107 - 631064,in stock,new,45 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2904_631064.jpg,OEM,Orange,3.0,"<p>Χαρακτηριστικά:<br />Τάση: 110-240V<br />Ταχύτητα: 0-30000RPM<br />Τάση: 9W</p><p>Στη συσκευασία περιέχονται:<br />1 x Τροχός<br />1 x Βάση<br />6 x Κεφαλές<br />1 x Φορτιστή<br />1 x Οδηγίες</p><p>Διαθέσιμα χρώματα: Μαύρο, Λευκό, Πορτοκαλί - Αποστολή κατόπιν διαθεσιμότητας</p><p> </p>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ & Fitness>Είδη περιποίησης νυχιών & μακιγιάζ>Τροχοί νυχιών
36581,Ηλεκτρικός τροχός μανικιούρ-πεντικ,Ηλεκτρικός τροχός μανικιούρ-πεντικιούρ - TGR-106 - 631071 - Black,in stock,new,54 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2904_631088.jpg,OEM,Black,3.0,"<p>Διαθέτει ρυθμιζόμενη ταχύτητα, ρύθμιση δεξιόστροφης/αριστερόστροφης λειτουργίας, τεχνολογία μειωμένου θορύβου/δονήσεων, εργονομικό σχεδιασμό λαβής για άνετη χρήση.</p><p>Χαρακτηριστικά:<br />Τάση:110-240V<br />Ταχύτητα: 0-30000RPM<br />Τάση: 9W<br />Δεξιόστροφη & αριστερόστροφη λειτουργία</p><p>Στη συσκευασία περιέχονται:</p><p>1 x Τροχός<br />1 x Βάση<br />6 x Κεφαλές<br />1 x Φορτιστή<br />1 x Οδηγίες</p><p> </p>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ & Fitness>Είδη περιποίησης νυχιών & μακιγιάζ>Τροχοί νυχιών
36582,Ηλεκτρικός τροχός μανικιούρ-πεντικ,Ηλεκτρικός τροχός μανικιούρ-πεντικιούρ - Επαναφορτιζόμενος - TGR-105 - 631088 - Green,in stock,new,41.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/631088_g.png,OEM,Green,3.0,"<p>Επαναφορτιζόμενος ηλεκτρικός τροχός νυχιών με ενσωματωμένη μπαταρία, κατάλληλος για επαγγελματική χρήση. <br />Ταχύτητα: 0-30000RPM <br />Ισχύς: 36W <br />Τάση:110-240V</p><p>Στη συσκευασία περιλαμβάνονται: <br />1 x Τροχός <br />1 x Βάση <br />1 x Κεφαλή/Λίμα <br />1 x Φορτιστή <br />1 x Οδηγίες</p>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ & Fitness>Είδη περιποίησης νυχιών & μακιγιάζ>Τροχοί νυχιών
37451,Ηλεκτρικός τροχός μανικιούρ-πεντικ,Ηλεκτρικός τροχός μανικιούρ-πεντικιούρ - Επαναφορτιζόμενος - TGR-105 - 631088 - Pink,in stock,new,41.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/631088_p.png,OEM,Pink,3.0,"<p>Επαναφορτιζόμενος ηλεκτρικός τροχός νυχιών με ενσωματωμένη μπαταρία, κατάλληλος για επαγγελματική χρήση. <br />Ταχύτητα: 0-30000RPM <br />Ισχύς: 36W <br />Τάση:110-240V</p><p>Στη συσκευασία περιλαμβάνονται: <br />1 x Τροχός <br />1 x Βάση <br />1 x Κεφαλή/Λίμα <br />1 x Φορτιστή <br />1 x Οδηγίες</p>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ & Fitness>Είδη περιποίησης νυχιών & μακιγιάζ>Τροχοί νυχιών
37452,Ηλεκτρικός τροχός μανικιούρ-πεντικ,Ηλεκτρικός τροχός μανικιούρ-πεντικιούρ - Επαναφορτιζόμενος - TGR-105 - 631088 - Orange,in stock,new,41.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/631088_o.png,OEM,Orange,3.0,"<p>Επαναφορτιζόμενος ηλεκτρικός τροχός νυχιών με ενσωματωμένη μπαταρία, κατάλληλος για επαγγελματική χρήση. <br />Ταχύτητα: 0-30000RPM <br />Ισχύς: 36W <br />Τάση:110-240V</p><p>Στη συσκευασία περιλαμβάνονται: <br />1 x Τροχός <br />1 x Βάση <br />1 x Κεφαλή/Λίμα <br />1 x Φορτιστή <br />1 x Οδηγίες</p>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ & Fitness>Είδη περιποίησης νυχιών & μακιγιάζ>Τροχοί νυχιών
38904,Ηλεκτρικός τροχός μανικιούρ-πεντικ,Ηλεκτρικός τροχός μανικιούρ-πεντικιούρ - DM-208 - 15W - 631019 - White,in stock,new,39.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2904_631019-1.jpg,OEM,White,3.0,"<div id=""tabs1"" class=""tab-pane fade in active""><p>Επαγγελματικός τροχός μανικιούρ-πεντικιούρ με βάση στήριξης και πεντάλ ποδιού. <br />Διαθέτει ρυθμιζόμενη ταχύτητα, ρύθμιση δεξιόστροφης/αριστερόστροφης λειτουργίας, τεχνολογία μειωμένου θορύβου/δονήσεων, εργονομικό σχεδιασμό λαβής για άνετη χρήση.</p><p>Υψηλής απόδοσης, κατάλληλος για επαγγελματική χρήση.<br role=""presentation"" data-uw-rm-sr="""" />Περιλαμβάνει 6 εναλλασσόμενες κεφαλές.</p><p>Ισχύς: 15W<br role=""presentation"" data-uw-rm-sr="""" />Ταχύτητα στροφών: Έως 30000RPM/min<br role=""presentation"" data-uw-rm-sr="""" />Διαστάσεις:<br role=""presentation"" data-uw-rm-sr="""" />Συσκευασία: 24.5*20*8.5cm<br role=""presentation"" data-uw-rm-sr="""" />Βάση: <span class=""magic-10"" data-spm-anchor-id=""a2700.details.0.i23.3fe85d7ae4sWuE"">11.6*15.5*7.3cm<br role=""presentation"" data-uw-rm-sr="""" />Λαβή: 13.2*2.3cm</span><br role=""presentation"" data-uw-rm-sr="""" />Βάρος: 1,2kg</p></div>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ & Fitness>Είδη περιποίησης νυχιών & μακιγιάζ>Τροχοί νυχιών
38906,Ηλεκτρικός τροχός μανικιούρ-πεντικ,Ηλεκτρικός τροχός μανικιούρ-πεντικιούρ - DΜ-710 - 65W - 631101 - White,in stock,new,66.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2904_631101-1.jpg,OEM,White,4.0,"<p>Επαγγελματικός τροχός μανικιούρ-πεντικιούρ με βάση στήριξης. Διαθέτει ρυθμιζόμενη ταχύτητα, λειτουργία μειωμένου θορύβου και δονήσεων και εργονομικό σχεδιασμό για εύκολη και άνετη χρήση.</p><ul class=""two-columns-list""><li>Ψηφιακή οθόνη ενδείξεων</li><li>Ρυθμιζόμενη ταχύτητα: 1000-30000rpm</li><li>Προστασία από υπερθέρμανση</li><li>Προστασία από αντίστροφη ενεργοποίηση (καθυστέρηση αλλαγής 2 sec)</li><li>12 φρέζες και τροχολιθάκια</li><li>Ισχύς: 65W</li></ul>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ & Fitness>Είδη περιποίησης νυχιών & μακιγιάζ>Τροχοί νυχιών
39098,Ηλεκτρικός τροχός μανικιούρ-πεντικ,Ηλεκτρικός τροχός μανικιούρ-πεντικιούρ - DM-208 - 15W - 631019 - Black,in stock,new,39.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/631019_bl.jpg,OEM,Black,3.0,"<div id=""tabs1"" class=""tab-pane fade in active""><p>Επαγγελματικός τροχός μανικιούρ-πεντικιούρ με βάση στήριξης και πεντάλ ποδιού. <br />Διαθέτει ρυθμιζόμενη ταχύτητα, ρύθμιση δεξιόστροφης/αριστερόστροφης λειτουργίας, τεχνολογία μειωμένου θορύβου/δονήσεων, εργονομικό σχεδιασμό λαβής για άνετη χρήση.</p><p>Υψηλής απόδοσης, κατάλληλος για επαγγελματική χρήση.<br role=""presentation"" data-uw-rm-sr="""" />Περιλαμβάνει 6 εναλλασσόμενες κεφαλές.</p><p>Ισχύς: 15W<br role=""presentation"" data-uw-rm-sr="""" />Ταχύτητα στροφών: Έως 30000RPM/min<br role=""presentation"" data-uw-rm-sr="""" />Διαστάσεις:<br role=""presentation"" data-uw-rm-sr="""" />Συσκευασία: 24.5*20*8.5cm<br role=""presentation"" data-uw-rm-sr="""" />Βάση: <span class=""magic-10"" data-spm-anchor-id=""a2700.details.0.i23.3fe85d7ae4sWuE"">11.6*15.5*7.3cm<br role=""presentation"" data-uw-rm-sr="""" />Λαβή: 13.2*2.3cm</span><br role=""presentation"" data-uw-rm-sr="""" />Βάρος: 1,2kg</p></div>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ & Fitness>Είδη περιποίησης νυχιών & μακιγιάζ>Τροχοί νυχιών
39099,Ηλεκτρικός τροχός μανικιούρ-πεντικ,Ηλεκτρικός τροχός μανικιούρ-πεντικιούρ - DM-208 - 15W - 631019 - Pink,in stock,new,39.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/631019_pink.jpg,OEM,Pink,3.0,"<div id=""tabs1"" class=""tab-pane fade in active""><p>Επαγγελματικός τροχός μανικιούρ-πεντικιούρ με βάση στήριξης και πεντάλ ποδιού. <br />Διαθέτει ρυθμιζόμενη ταχύτητα, ρύθμιση δεξιόστροφης/αριστερόστροφης λειτουργίας, τεχνολογία μειωμένου θορύβου/δονήσεων, εργονομικό σχεδιασμό λαβής για άνετη χρήση.</p><p>Υψηλής απόδοσης, κατάλληλος για επαγγελματική χρήση.<br role=""presentation"" data-uw-rm-sr="""" />Περιλαμβάνει 6 εναλλασσόμενες κεφαλές.</p><p>Ισχύς: 15W<br role=""presentation"" data-uw-rm-sr="""" />Ταχύτητα στροφών: Έως 30000RPM/min<br role=""presentation"" data-uw-rm-sr="""" />Διαστάσεις:<br role=""presentation"" data-uw-rm-sr="""" />Συσκευασία: 24.5*20*8.5cm<br role=""presentation"" data-uw-rm-sr="""" />Βάση: <span class=""magic-10"" data-spm-anchor-id=""a2700.details.0.i23.3fe85d7ae4sWuE"">11.6*15.5*7.3cm<br role=""presentation"" data-uw-rm-sr="""" />Λαβή: 13.2*2.3cm</span><br role=""presentation"" data-uw-rm-sr="""" />Βάρος: 1,2kg</p></div>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ & Fitness>Είδη περιποίησης νυχιών & μακιγιάζ>Τροχοί νυχιών
39102,Ηλεκτρικός τροχός μανικιούρ-πεντικ,Ηλεκτρικός τροχός μανικιούρ-πεντικιούρ - DΜ-710 - 65W - 631101 - Pink,in stock,new,66.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/631101_pi.jpg,OEM,Pink,4.0,"<p>Επαγγελματικός τροχός μανικιούρ-πεντικιούρ με βάση στήριξης. Διαθέτει ρυθμιζόμενη ταχύτητα, λειτουργία μειωμένου θορύβου και δονήσεων και εργονομικό σχεδιασμό για εύκολη και άνετη χρήση.</p><ul class=""two-columns-list""><li>Ψηφιακή οθόνη ενδείξεων</li><li>Ρυθμιζόμενη ταχύτητα: 1000-30000rpm</li><li>Προστασία από υπερθέρμανση</li><li>Προστασία από αντίστροφη ενεργοποίηση (καθυστέρηση αλλαγής 2 sec)</li><li>12 φρέζες και τροχολιθάκια</li><li>Ισχύς: 65W</li></ul>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ & Fitness>Είδη περιποίησης νυχιών & μακιγιάζ>Τροχοί νυχιών
